Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,4.147233,-6.8337626,22.662891,0.025282266,0.00029922335,0.19974113,0.0004987315,1202.6666666666667,-280.51483999798074,-280.51483999798074,1.0
100000,4.1301284,-8.676464,15.517328,0.027030135,0.0002978324,0.19927748,0.00049645954,1202.3,-242.8110512636602,-242.8110512636602,1.0
150000,4.0833707,-10.698852,15.809111,0.024448698,0.0002962904,0.19876346,0.00049394096,1202.2727272727273,-251.04520174420693,-251.04520174420693,1.0
200000,4.068572,-11.320133,18.81152,0.025299475,0.00029474674,0.19824891,0.00049141963,1202.3333333333333,-234.13389499192792,-234.13389499192792,1.0
250000,4.0745335,-12.292693,17.391382,0.025659118,0.00029320273,0.19773424,0.0004888977,1202.3,-223.2557136288844,-223.2557136288844,1.0
300000,4.0605464,-12.491651,12.873433,0.02531914,0.00029165827,0.1972194,0.00048637512,1202.3333333333333,-214.93939116171427,-214.93939116171427,1.0
350000,4.0393767,-13.148765,20.176235,0.026266497,0.00029026685,0.19675562,0.0004841024,1202.35,-222.49638448040932,-222.49638448040932,1.0
400000,3.953697,-12.541111,30.926188,0.026538143,0.00028887537,0.19629179,0.00048182975,1138.7727272727273,-192.01365438510072,-192.01365438510072,1.0
450000,3.9573715,-12.608759,46.872147,0.02385534,0.00028732955,0.19577649,0.00047930478,1202.3181818181818,-197.30684256341985,-197.30684256341985,1.0
500000,3.9467561,-11.9382,28.357159,0.0256897,0.00028578323,0.19526109,0.00047677924,1156.45,-181.0628093028441,-181.0628093028441,1.0
550000,3.9154837,-11.636692,62.332603,0.02506252,0.000284233,0.19474432,0.0004742472,1071.9615384615386,-123.35465882102457,-123.35465882102457,1.0
600000,3.9385607,-10.719876,47.942547,0.024424385,0.0002826853,0.19422843,0.00047171925,1155.1,-167.26778293270618,-167.26778293270618,1.0
650000,3.8971674,-10.314331,52.036613,0.026341245,0.00028114207,0.193714,0.00046919863,1159.8181818181818,-156.30068847384644,-156.30068847384644,1.0
700000,3.8467822,-10.602616,56.978416,0.025022637,0.000279754,0.19325134,0.0004669315,1038.3181818181818,-162.43045906570148,-162.43045906570148,1.0
750000,3.7238996,-10.58397,73.11532,0.027782673,0.00027836338,0.19278778,0.00046466012,1159.4130434782608,-196.37996506172678,-196.37996506172678,1.0
800000,3.7157383,-10.20145,71.40345,0.025337059,0.0002768222,0.19227405,0.00046214284,1094.0434782608695,-166.63584254536292,-166.63584254536292,1.0
850000,3.672395,-10.167479,82.646194,0.024737693,0.0002752755,0.19175848,0.00045961663,1171.3181818181818,-207.68197229301387,-207.68197229301387,1.0
900000,3.5244524,-10.818103,88.25155,0.025831768,0.00027372641,0.19124214,0.00045708645,1089.7272727272727,-205.97822269052267,-205.97822269052267,1.0
950000,3.5294974,-10.732276,155.43362,0.026044268,0.00027218013,0.19072673,0.0004545608,1082.2083333333333,-201.6994507266803,-201.6994507266803,1.0
