Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
600000,3.6948628,-1.9105685,70.77077,0.024462067,0.000282655,0.19421831,0.00047166971,1202.5,-128.7202498668339,-128.7202498668339,1.0
650000,3.6655807,-2.0467167,92.076294,0.024827186,0.00028126064,0.19375356,0.00046939234,1202.4,-140.1800948363729,-140.1800948363729,1.0
700000,3.5721552,-1.8655854,250.06396,0.024245076,0.00027971203,0.19323733,0.000466863,1202.3636363636363,-210.75222464269874,-210.75222464269874,1.0
750000,3.47098,-2.036275,208.61919,0.024300586,0.00027816527,0.19272177,0.00046433663,1202.421052631579,-187.19808860848607,-187.19808860848607,1.0
800000,3.2803364,-2.0374122,220.03174,0.025953656,0.0002767721,0.19225737,0.00046206103,1202.3181818181818,-168.96104532429442,-168.96104532429442,1.0
850000,3.049372,-1.6325418,155.23021,0.026986817,0.000275379,0.19179301,0.00045978572,1202.2857142857142,-168.41252833640291,-168.41252833640291,1.0
900000,2.911065,-1.9381193,135.94202,0.025646836,0.00027383174,0.19127724,0.00045725852,1202.3333333333333,-160.6884289665059,-160.6884289665059,1.0
950000,2.573346,-1.3159102,187.78268,0.026697341,0.0002722856,0.19076188,0.00045473315,1202.3333333333333,-159.30310743381935,-159.30310743381935,1.0
1000000,2.2154326,-1.4164394,55.43656,0.023832096,0.0002707416,0.19024721,0.0004522112,1190.0,-87.86974836292211,-87.86974836292211,1.0
1050000,1.6156821,-0.6240577,45.60151,0.023181811,0.000269194,0.18973133,0.00044968343,1129.6363636363637,-45.41115833520466,-45.41115833520466,1.0
1100000,1.1492488,-0.25870353,12.55758,0.024587225,0.0002676453,0.1892151,0.00044715396,1053.9130434782608,-13.185310158149704,-13.185310158149704,1.0
1150000,0.9235138,-0.1286301,31.265625,0.022696696,0.00026625258,0.18875086,0.0004448792,1029.12,-19.421945183668285,-19.421945183668285,1.0
1200000,0.7682238,-0.03616941,2.174811,0.023788702,0.00026486142,0.18828714,0.00044260695,1003.3076923076923,-1.9101777890248708,-1.9101777890248708,1.0
1250000,0.79783463,0.032958504,2.2057805,0.025917362,0.00026331222,0.18777074,0.0004400766,1009.5833333333334,-0.7894565323949791,-0.7894565323949791,1.0
1300000,0.71914303,0.12646101,2.9287438,0.022068208,0.00026176812,0.18725601,0.0004375545,980.6153846153846,-0.8397848953206378,-0.8397848953206378,1.0
1350000,1.1624855,0.07753268,4.030967,0.023270108,0.00026022334,0.18674111,0.0004350314,1006.0416666666666,-3.891429617642037,-3.891429617642037,1.0
1400000,1.254541,-0.031046622,17.565945,0.024441415,0.00025867496,0.18622497,0.0004325024,1046.12,-16.852920827902853,-16.852920827902853,1.0
1450000,0.98165977,0.016803212,5.464595,0.022253502,0.00025712996,0.18570995,0.00042997883,1036.2083333333333,-9.662333311432082,-9.662333311432082,1.0
1500000,1.0467676,0.09756759,7.709682,0.023675257,0.00025573667,0.18524554,0.00042770314,1024.0869565217392,-7.353402844319741,-7.353402844319741,1.0
1550000,1.1249804,0.056182396,31.653797,0.025411401,0.000254343,0.184781,0.00042542684,1024.88,-26.208886066442357,-26.208886066442357,1.0
1600000,0.8230163,0.21531978,0.4660647,0.024675604,0.0002527964,0.1842655,0.00042290078,986.3703703703703,2.649744308036235,2.649744308036235,1.0
1650000,0.80737746,0.1793421,7.206645,0.023615906,0.00025125037,0.18375012,0.00042037558,999.8260869565217,-11.594980046308288,-11.594980046308288,1.0
1700000,0.6305372,0.2320333,6.8176394,0.023462696,0.00024970452,0.18323484,0.00041785068,987.4347826086956,-2.838434902175019,-2.838434902175019,1.0
