Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
900000,2.731204,-25.35272,14.484619,0.023834566,0.00027374015,0.19124672,0.00045710886,1202.3809523809523,-371.8824196997143,-371.8824196997143,1.0
950000,2.705244,-25.704058,93.259476,0.024206989,0.00027219387,0.19073126,0.0004545832,1202.3,-407.696195808053,-407.696195808053,1.0
1000000,2.5287879,-25.689144,12.956421,0.025025284,0.00027064554,0.19021519,0.0004520543,1202.3333333333333,-361.9826097829001,-361.9826097829001,1.0
1050000,2.496242,-25.571762,126.03046,0.024379902,0.00026925464,0.18975157,0.00044978256,1202.3333333333333,-404.18692423616136,-404.18692423616136,1.0
1100000,2.3825436,-25.896961,56.891975,0.024400681,0.0002678631,0.18928769,0.00044750966,1202.3809523809523,-393.5313052904038,-393.5313052904038,1.0
1150000,2.3245225,-25.963057,166.29317,0.02551349,0.0002663138,0.18877125,0.00044497917,1202.3,-404.1268729180098,-404.1268729180098,1.0
1200000,2.2085023,-25.649946,36.32888,0.02473248,0.00026477076,0.1882569,0.00044245884,1202.3478260869565,-374.0406263548395,-374.0406263548395,1.0
1250000,2.2021022,-26.072912,33.554813,0.028883215,0.00026322747,0.1877425,0.00043993825,1202.3333333333333,-374.2079382803705,-374.2079382803705,1.0
1300000,2.0434504,-25.570189,40.260605,0.023724392,0.00026167877,0.18722625,0.00043740854,1202.3333333333333,-375.54745417336625,-375.54745417336625,1.0
1350000,1.9625789,-25.851028,91.84793,0.022815766,0.00026013044,0.18671015,0.00043487968,1202.3,-372.64784581661223,-372.64784581661223,1.0
1400000,1.9198947,-25.943232,20.437569,0.02653571,0.0002587423,0.18624742,0.0004326124,1193.55,-358.06834178864955,-358.06834178864955,1.0
1450000,1.7632583,-25.828266,105.99203,0.025260005,0.00025735132,0.18578374,0.0004303404,1202.3181818181818,-374.7512221932411,-374.7512221932411,1.0
1500000,1.7628875,-25.888018,6.2905507,0.024936695,0.00025580745,0.18526915,0.00042781877,1202.3157894736842,-349.49149201418226,-349.49149201418226,1.0
1550000,1.5597566,-25.971529,109.177444,0.023873711,0.00025425732,0.18475243,0.00042528688,1202.3809523809523,-376.7096125682195,-376.7096125682195,1.0
1600000,1.4936223,-25.918873,14.687655,0.023070792,0.00025271592,0.18423864,0.00042276928,1199.75,-364.06624326705935,-364.06624326705935,1.0
1650000,1.5006214,-25.739243,95.356094,0.023066167,0.00025117034,0.18372345,0.00042024488,1202.3478260869565,-356.52955693265665,-356.52955693265665,1.0
1700000,1.4986223,-26.258745,86.123436,0.02546134,0.00024962187,0.18320727,0.00041771564,1169.8095238095239,-359.847635941846,-359.847635941846,1.0
1750000,1.4952666,-26.056795,21.572222,0.024347462,0.00024823315,0.18274437,0.00041544746,1168.7272727272727,-345.60292323611,-345.60292323611,1.0
1800000,1.2358433,-26.352686,77.99533,0.025181767,0.0002468448,0.1822816,0.00041317986,1168.5263157894738,-354.5010193900058,-354.5010193900058,1.0
