Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
50000,4.1217804,-3.608142,47.691315,0.025086608,0.00029922422,0.19974142,0.00049873296,1202.5,-385.60795363783836,-385.60795363783836,1.0
100000,4.0745673,-6.2226305,38.959408,0.024923775,0.00029782928,0.19927642,0.0004964544,1202.3809523809523,-380.14634205046156,-380.14634205046156,1.0
150000,4.015468,-8.784689,26.751923,0.024822572,0.00029627988,0.19875997,0.0004939238,1202.3636363636363,-374.97687164219946,-374.97687164219946,1.0
200000,3.936662,-10.887399,21.321968,0.02382786,0.00029473758,0.19824585,0.0004914047,1202.4,-371.6521096944809,-371.6521096944809,1.0
250000,3.8668103,-12.913305,16.11124,0.024631485,0.00029319266,0.19773087,0.0004888814,1202.3333333333333,-368.6360549926758,-368.6360549926758,1.0
300000,3.803702,-14.854813,12.326268,0.023720667,0.00029164978,0.19721657,0.00048636118,1202.2857142857142,-366.2102458817618,-366.2102458817618,1.0
350000,3.6778817,-16.331839,10.3800535,0.023417413,0.00029026152,0.19675384,0.0004840938,1202.3333333333333,-365.5105786777678,-365.5105786777678,1.0
400000,3.5956724,-17.765602,7.3038416,0.027486678,0.00028887048,0.19629017,0.00048182174,1202.3333333333333,-360.4644127800351,-360.4644127800351,1.0
450000,3.5007203,-18.951843,6.4165545,0.02516292,0.00028732754,0.19577588,0.0004793016,1202.4,-364.6315582036972,-364.6315582036972,1.0
500000,3.4245088,-20.345522,4.6604414,0.02418208,0.00028578477,0.19526158,0.0004767817,1202.3333333333333,-363.9839082479477,-363.9839082479477,1.0
550000,3.324344,-21.452513,3.209184,0.02488938,0.0002842429,0.19474764,0.0004742634,1202.2857142857142,-360.65932445092636,-360.65932445092636,1.0
600000,3.24921,-21.83823,2.6025767,0.025005039,0.0002826978,0.19423261,0.00047173974,1202.3181818181818,-358.1982793157751,-358.1982793157751,1.0
650000,3.1237495,-22.96211,1.9032692,0.026212657,0.00028115246,0.19371745,0.00046921562,1202.35,-358.50903437137606,-358.50903437137606,1.0
700000,2.9530163,-23.67529,117.143364,0.027802728,0.00027976412,0.19325471,0.00046694808,1202.35,-377.1667376756668,-377.1667376756668,1.0
750000,2.9686096,-24.18807,1.4741062,0.02687419,0.00027837369,0.19279121,0.00046467702,1202.3,-358.6690329824175,-358.6690329824175,1.0
800000,2.8342595,-24.91478,19.726013,0.025833536,0.00027682626,0.19227543,0.0004621496,1202.35,-368.1752120554447,-368.1752120554447,1.0
850000,2.8816588,-25.146376,3.4286122,0.025634825,0.00027528533,0.19176178,0.0004596327,1202.3333333333333,-356.22529654275803,-356.22529654275803,1.0
